Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
nicaragua,others,others,275,asociación de cafés especiales de nicaragua,2014,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,78.58,0.11,1,0,green,1,others,others,1600,2,green,78.58,NA,Natural / Dry
guatemala,oriente,varios,250,asociacion nacional del café,2014,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,78.58,0.12,0,0,green,3,1219.2,1219.2,1400,69,green,78.58,Other,Washed / Wet
taiwan,"dongshan dist., tainan city 臺南市東山區",guo jiun hung 郭俊宏 & tseng ru feng 曾如楓,50,specialty coffee association,2013,6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,78.58,0.1,0,0,green,0,800,800,1550,20,green,78.58,Typica,Washed / Wet
mexico,tapachula,epifanio garcia de miguel,250,amecafe,2012,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,78.58,0.13,0,0,green,1,1400,1400,1400,1,green,78.58,Typica,Washed / Wet
mexico,cofradia de suchitlan,"j. carmen guzman concepcion, ignacio ramirez barajas, dionicio garcia ramirez",50,amecafe,2012,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,78.58,0.1,0,0,others,1,1300,1300,1200,1,bluish-green,78.58,Typica,Washed / Wet
united states (hawaii),kona,others,8,specialty coffee association,others,7.92,6.83,7.08,7.42,6.75,7.33,8.67,9.33,10,7.25,78.58,0,0,0,others,0,others,others,1000,100,bluish-green,78.58,NA,Other
mexico,"sierra, chiapas",various small producers,280,specialty coffee association,2014,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,78.5,0,0,0,green,0,1600,1600,1550,69,green,78.5,Bourbon,Washed / Wet
mexico,villa talea de castro,reynaldo olivera rios,10,amecafe,2012,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,78.5,0.12,0,0,others,14,1400,1400,1600,1,bluish-green,78.5,Typica,Washed / Wet
mexico,los angeles,francisco ruiz nuñez,20,amecafe,2012,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,78.5,0.13,1,0,green,3,1200,1200,1400,1,green,78.5,Caturra,Washed / Wet
brazil,monte carmelo,manoel cardoso and galileo cardoso,300,brazil specialty coffee association,2014,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,78.42,0.12,3,0,green,4,others,others,1400,60,green,78.42,Catuai,Natural / Dry
mexico,zaragoza itundujia,lamberto josé garcía,10,amecafe,2012,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,78.42,0.14,0,0,others,0,1500,1500,1400,1,bluish-green,78.42,Typica,Washed / Wet
united states (hawaii),kona,others,5,specialty coffee association,2014,7.5,7.75,7.58,7.83,7.92,7.92,7.33,8,8.67,7.83,78.33,0.1,0,0,bluish-green,0,others,others,1400,100,bluish-green,78.33,Hawaiian Kona,Natural / Dry
guatemala,oriente,varios,275,asociacion nacional del café,2014,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,78.33,0.1,0,0,green,2,1219.2,1219.2,1200,69,green,78.33,Other,Washed / Wet
guatemala,oriente,luis rodriguez,250,asociacion nacional del café,2012,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,78.33,0.11,1,0,green,4,1310.64,1310.64,1300,1,green,78.33,Bourbon,Washed / Wet
mexico,"xochitonalco, huautla        ",pablo cervantes morelos        ,100,amecafe,2012,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,78.33,0.13,31,0,green,47,1300,1300,1200,1,green,78.33,Typica,Natural / Dry
